Timestamp,Gas Level,Distance (cm),Workers,Safety Status
2026-08-13 21:47:54,0,0.00,1,DANGER
2026-08-13 21:50:09,0,0.00,1,DANGER
2026-08-13 21:50:10,50,16.94,1,WARNING
2026-08-13 21:50:10,249,16.94,1,DANGER
2026-08-13 21:50:10,57,16.94,1,WARNING
2026-08-13 21:50:10,261,17.00,1,DANGER
2026-08-13 21:50:10,39,16.94,1,WARNING
2026-08-13 21:50:10,177,16.94,1,DANGER
2026-08-13 21:50:11,87,16.94,1,WARNING
2026-08-13 21:50:12,183,47.88,2,DANGER
2026-08-13 21:50:20,34,17.05,1,WARNING
2026-08-13 21:50:28,58,8.80,1,DANGER
2026-08-13 21:50:28,102,16.94,1,WARNING
2026-08-13 21:58:25,0,0.00,1,DANGER
2026-08-13 21:58:40,52,10.84,1,WARNING
2026-08-13 21:58:40,39,9.24,1,DANGER
2026-08-13 22:11:55,0,0.00,1,DANGER
2026-08-13 22:11:56,35,10.26,1,WARNING
2026-08-13 22:11:56,38,8.42,1,DANGER
2026-08-13 22:12:01,36,10.27,1,WARNING
2026-08-13 22:12:01,32,8.44,1,DANGER
2026-08-13 22:12:07,33,10.15,0,WARNING
2026-08-13 22:12:07,37,8.52,0,DANGER
2026-08-13 22:12:14,67,16.94,1,WARNING
2026-08-13 22:12:15,55,20.15,0,SAFE
2026-08-13 22:12:15,41,16.94,0,WARNING
2026-08-13 22:12:17,30,23.00,1,SAFE
2026-08-13 22:12:17,53,16.94,1,WARNING
2026-08-13 22:12:21,164,12.57,1,DANGER
2026-08-13 22:12:22,46,17.27,1,WARNING
2026-08-13 22:12:22,47,20.39,1,SAFE
2026-08-13 22:12:23,50,16.94,1,WARNING
2026-08-13 22:12:25,39,32.93,1,SAFE
2026-08-13 22:12:25,48,19.41,1,WARNING
2026-08-13 22:12:27,225,20.72,1,DANGER
2026-08-13 22:12:28,123,16.62,1,WARNING
2026-08-13 22:12:28,154,16.94,1,DANGER
2026-08-13 22:12:31,95,16.94,1,WARNING
2026-08-13 22:12:31,258,21.13,1,DANGER
2026-08-13 22:41:12,0,0.00,1,DANGER
2026-08-13 22:44:15,0,0.00,1,DANGER
2026-08-13 23:11:39,0,0.00,1,DANGER
2026-08-13 23:15:33,0,0.00,1,DANGER
2026-08-13 23:15:53,0,0.00,1,DANGER
2026-08-13 23:17:55,0,0.00,1,DANGER
2026-08-13 23:19:57,0,0.00,0,DANGER
2026-08-13 23:22:31,0,0.00,0,DANGER
2026-08-13 23:24:20,0,0.00,0,DANGER
2026-08-13 23:25:58,0,0.00,0,DANGER
2026-08-13 23:26:50,77,15.66,1,WARNING
2026-08-13 23:26:50,264,16.94,1,DANGER
2026-08-13 23:27:38,0,0.00,0,DANGER
2026-08-13 23:28:29,0,31.62,1,SAFE
2026-08-13 23:28:30,139,33.19,1,WARNING
2026-08-13 23:28:30,367,30.82,1,DANGER
2026-08-13 23:28:31,0,31.62,1,SAFE
2026-08-13 23:28:32,185,30.96,1,DANGER
2026-08-13 23:28:33,0,35.28,1,SAFE
2026-08-13 23:28:34,147,35.57,1,WARNING
2026-08-13 23:28:35,259,35.55,1,DANGER
2026-08-13 23:28:36,34,36.74,1,SAFE
2026-08-13 23:28:37,74,35.02,1,WARNING
2026-08-13 23:28:37,0,37.18,1,SAFE
2026-08-13 23:28:38,94,39.41,1,WARNING
2026-08-13 23:28:39,0,21.78,1,SAFE
2026-08-13 23:28:40,75,41.59,1,WARNING
2026-08-13 23:28:40,247,33.97,1,DANGER
2026-08-13 23:28:41,0,34.23,1,SAFE
2026-08-13 23:28:42,117,32.67,1,WARNING
2026-08-13 23:28:42,224,33.19,1,DANGER
2026-08-13 23:28:43,0,33.70,1,SAFE
2026-08-13 23:28:44,143,32.67,1,WARNING
2026-08-13 23:28:44,209,33.19,1,DANGER
2026-08-13 23:28:45,0,33.72,1,SAFE
2026-08-13 23:28:46,170,33.70,1,DANGER
2026-08-13 23:28:47,0,36.03,1,SAFE
2026-08-13 23:28:48,215,35.02,1,DANGER
2026-08-13 23:28:48,132,35.28,1,WARNING
2026-08-13 23:28:49,0,37.40,1,SAFE
2026-08-13 23:28:50,259,35.29,1,DANGER
2026-08-13 23:28:50,34,35.02,1,SAFE
2026-08-13 23:28:51,80,34.76,1,WARNING
2026-08-13 23:28:52,255,34.76,1,DANGER
2026-08-13 23:28:52,0,35.21,1,SAFE
2026-08-13 23:28:53,112,32.95,1,WARNING
2026-08-13 23:28:54,227,35.29,1,DANGER
2026-08-13 23:28:54,0,32.93,1,SAFE
2026-08-13 23:28:55,135,33.72,1,WARNING
2026-08-13 23:28:56,215,33.72,1,DANGER
2026-08-13 23:28:56,0,32.67,1,SAFE
2026-08-13 23:28:57,146,36.03,1,WARNING
2026-08-13 23:28:58,196,33.72,1,DANGER
2026-08-13 23:28:58,0,33.72,1,SAFE
2026-08-13 23:29:42,0,0.00,0,DANGER
